"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"KIF26B",-0.412280770689481,2.15302076644309,0.236414224942637,-0.495323122555473,1.82281559987739,0.457242216776421,-0.639157278725463,-0.616801602875913,-0.583558124841566,-0.643988108618401,-0.649259790743161,-0.629124008990086
"RRAGD",-0.887505622934213,-0.832721131888072,-0.751680392659654,-0.827823551097681,-0.855221749965543,-0.815022049642474,-0.281753292705818,1.11740585424952,1.02618327206697,0.175610041286715,1.7501613348313,1.18236728845896
"TIGIT",-0.609586478003985,0.674527469828139,0.314396368122913,-0.565883887357963,1.56914041783187,2.25214199770916,-0.50672985488062,-0.646154301478116,-0.628446918045949,-0.556805439870747,-0.656925733108149,-0.639673640746549
"TP73",-0.714360801980804,1.89139884210199,0.887299391411175,-0.690474673837079,1.5711839666509,0.851148049440889,-0.718603133151693,-0.63153788923597,-0.666094437245602,-0.707084860978325,-0.638320384526183,-0.434554068649299
"CLCN5",-0.815949637353115,-0.781343036940024,-0.749714474567437,-0.767772192291687,-0.745307232163688,-0.715549907065172,-0.458168908268318,1.02179151363496,1.46079653102903,-0.253428103955786,1.64680357840491,1.15784186953634
"SOCS1",-0.96454646551339,-0.911823244634266,-0.930503309266959,-0.866069883102891,-0.962733260248048,-0.942573225320859,0.533051507800865,1.10296480303077,0.605832613642737,0.990723454488148,1.49429901432189,0.851377994802009
"PADI2",-0.38368807956383,1.47775368132841,0.22106393410825,0.28343079380058,1.93908181003761,1.08497271066215,-0.810844299899056,-0.824322815517324,-0.827852760878612,-0.594586720801646,-0.815257955893271,-0.749750297383271
"FLJ23867",-0.712770558501172,-0.913145097015752,-0.693662970594092,-0.925939674924547,-0.874972773980183,-0.779131087942239,-0.19166877793685,1.3174424493962,0.635610181500537,0.175758487561581,1.90049086893744,1.06198895349908
"EEPD1",-0.571657454336503,-0.815709271342691,-0.689294855843777,-0.80586151032739,-0.83308034543695,-0.829746626401621,-0.450335814959952,1.44029782885649,0.994518902692251,-0.274684732231896,1.68123567284227,1.15431820648977
"CLEC4A",-0.726192518732335,-0.747483161012891,-0.741988193254152,-0.651641673356524,-0.712639922871308,-0.684928237187365,-0.401459481598008,1.3191567723346,0.321303870157142,-0.0079719547887771,2.34002533912895,0.693819161180671
"SLC30A4",-0.850540091883427,-0.967163900529893,-0.934563554202146,-0.822860075912714,-0.906605176986386,-0.925818261630158,-0.0124017623080763,0.799345233929957,1.24222534369226,0.970838249909657,1.41437118465046,0.993172811270465
"SLC37A3",-0.902481519436527,-0.841779818895839,-0.801200542218786,-0.849399776361535,-0.813612232775051,-0.778587669171965,-0.0982570716127236,0.778750981059966,0.771299167982811,0.33424398699855,2.04736794638437,1.15365654804673
"CCL22",-0.458814641089961,1.1325018659845,-0.609533040369487,0.0214520534762611,1.80276284357324,0.390821462756635,1.21869253136506,-0.942339703666374,-1.04771786916233,0.498378643198151,-1.01900016298832,-0.987203983077392
"SUCNR1",-0.671931715490567,-0.633703397414827,-0.656818175826201,-0.63482382982155,-0.645215905961119,-0.652504021174412,-0.657732634521053,1.36057368411641,1.3936746932965,-0.650349189184566,1.86590169308164,0.582928798899748
"EML6",-0.506789470125336,0.338205009728631,1.19778319874441,-0.611912791182641,1.36853286150266,2.10322412615181,-0.669469125129706,-0.62422010821342,-0.640889188679591,-0.680087780834246,-0.629771863188236,-0.64460486877434
"CKB",-0.418428160451395,2.75549359114325,0.339718206621031,-0.448857519972413,0.991637314867597,0.159044508533819,-0.581300787278582,-0.549598698494174,-0.531868671924497,-0.609282553573665,-0.566286124934303,-0.54027110453667
"ARHGAP44",-0.399536023791197,0.594870266945515,0.794817220272996,-0.436225954690964,1.03869123751855,2.42649190738724,-0.673041338068698,-0.702129663164102,-0.690133366731387,-0.635404848236475,-0.695584746475994,-0.622814690965485
"GCSAM",-0.767901746324082,-0.963234283564036,-0.955424913358814,-0.487506073225958,-0.889376512778368,-0.950968014382443,-0.34407922801131,0.600922640202089,1.30862685987955,0.610694410710549,1.56728527217733,1.27096158867549
"ABCA6",-0.292336657505526,0.669398802740248,1.17753934750316,-0.669842540111212,1.30192837600303,2.00084245297493,-0.727888350105481,-0.686191757035897,-0.63293421603708,-0.74543241277982,-0.734177752279102,-0.660905293367258
"SDC2",-0.755188376175645,-0.713467656015359,-0.606740050003614,-0.734939411642735,-0.728682494259777,-0.716317055010456,-0.569233278965666,1.16525610020014,1.51895709254843,-0.562828843161169,1.28511026950693,1.41807370297891
"RAB19",-0.817476331476718,-0.727450865034945,-0.772279072619325,-0.757338878239819,-0.760882446389804,-0.78619100777094,-0.256116537436935,1.3193146211746,0.763139931705361,-0.13327489684075,2.0729574740948,0.855598008834477
"APCDD1",-0.712408340184076,-0.688917707266452,-0.712408340184076,-0.583861237610883,-0.665211196659701,-0.70967255346645,-0.63802697401128,0.713865355837136,1.64189950967705,-0.551329266387905,1.65822110046625,1.24784964979038
